zoning_summary,count,total_sqft
P-NP-PS,2,1328548.152274725
P-NP-TR-PS-HD,4,67444.4922000154
P-PR,11,587471.1017460433
P-PR-HO,1,17664.497672813057
P-PR-HO-LS-PS,2,3418140.445723701
P-PR-HO-LS-TR-PS,2,71682.56692212695
P-PR-HO-LS-TR-PS-HS,1,32246.26501864177
P-PR-HO-PS,2,810846.2097746169
P-PR-HO-RR-PS,1,318657.7224641851
P-PR-HO-TR-PS,1,94791.30469285756
P-PR-HS,4,282104.28762420575
P-PR-LS,2,17538.653154184198
P-PR-LS-PS,45,32501634.667920753
P-PR-LS-PS-HD,5,5453550.025324717
P-PR-LS-SR-PS-HD,1,203314.84827108015
P-PR-LS-TR-PS,7,2984046.8913742453
P-PR-PS,17,4586889.897095609
P-PR-PS-HD,3,140740.00291948035
P-PR-TR,2,36710.36904441712
P-PS,673,20494525.752119467
P-PS-HD,41,3234750.7616496007
P-PS-HS,10,1256672.4994865807
P-SR-PS,22,2120349.7530928017
P-TR,27,69853.61730834849
P-TR-PS,35,2278798.7089973744
P-TR-SR-PS,8,1964135.4565185544
P-UM,134,1649944.9607551955
P-UM-HD,9,1849785.8449389632
P-UM-LS,9,285166.2761316986
P-UM-LS-PS,505,83882831.48297933
P-UM-LS-SR-PS,28,10543820.088351179
P-UM-LS-SR-PS-HS,1,12454751.900825474
P-UM-LS-TR-PS,160,15711392.75084038
P-UM-LS-TR-PS-HS,3,2069455.8051560768
P-UM-LS-TR-SR-PS,1,460316.6428983101
P-UM-PR,3,23103.51077730162
P-UM-PR-HO-LS-PS,1,481917.3739738231
P-UM-PR-LS-PS,15,27473003.22759022
P-UM-PR-LS-SR-PS,1,1107274.6133938988
P-UM-PR-LS-TR-PS,3,804857.808619683
P-UM-PR-LS-TR-PS-HS,4,2804737.304349684
P-UM-PR-PS,35,8790729.804689387
P-UM-PS,1144,48515779.092711635
P-UM-PS-HD,4,611046.3874768248
P-UM-SR,1,19269.14445718212
P-UM-SR-PS,29,3258573.8655619337
P-UM-TR,13,125069.53851893505
P-UM-TR-PS,302,22412411.310832806
P-UM-TR-SR-PS,1,754939.4803923224
R-MU-IZ-PR-HO,296,1428927.8104308255
R-MU-IZ-PR-HO-HD,2,24920.755763914312
R-MU-IZ-PR-HO-LS-PS,6,144004.26744530682
R-MU-IZ-PR-HO-LS-TR-PS,8,44920.94876021722
R-MU-IZ-PR-HO-LS-TR-PS-HD,1,1695971.1605531925
R-MU-IZ-PR-HO-PS,27,226361.8159002628
R-MU-IZ-PR-HO-PS-HD,3,18038.228746016775
R-MU-IZ-PR-HO-TR,168,954417.4916424911
R-MU-IZ-PR-HO-TR-PS,27,412597.5055225041
R1A-H,2039,9837894.942568656
R1A-H-BC-TR,4,22056.30753408334
R1A-H-BC-TR-PS,2,8250.921982016684
R1A-H-BC-TR-PS-HD,1,317205.14891942206
R1A-H-FP-PR-HO-LS-RR-PS-HD,1,5023865.88163913
R1A-H-HD,26,99152.22295797663
R1A-H-HO,1,57816.85804650567
R1A-H-HS,2,206320.19790879078
R1A-H-IZ,2538,9449553.42626543
R1A-H-IZ-HD,73,430284.7257360135
R1A-H-IZ-HR-PR-HO,6,24972.091098930236
R1A-H-IZ-HR-PR-HO-PS,1,6415.713116745582
R1A-H-IZ-HR-PR-HO-TR,13,64587.60380494939
R1A-H-IZ-HR-PR-HO-TR-PS,5,20432.308584974897
R1A-H-IZ-HS,4,95112.14386859306
R1A-H-IZ-LS,36,190707.61631086128
R1A-H-IZ-LS-HD,6,29520.153287826728
R1A-H-IZ-LS-PS,131,1589722.4248473237
